,http2,http3
231,0.040188,0.081888
232,0.064844,0.036279
233,0.111579,0.072925
234,0.045933,0.06365
235,0.037038,0.034321
236,0.034078,0.069434
237,0.11542,0.04217
238,0.08329,0.049236
239,0.054344,0.054607
240,0.049507,0.060368
241,0.046768,0.059516
242,0.036043,0.062065
243,0.059596,0.039766
244,0.035906,0.048954
245,0.075152,0.042599
246,0.042359,0.094691
247,0.077987,0.040336
248,0.046311,0.043546
249,0.062939,0.063395
250,0.049241,0.03567
251,0.055706,0.078325
252,0.03672,0.092472
253,0.052496,0.051042
254,0.042287,0.052303
255,0.040698,0.115195
256,0.119724,0.04112
257,0.03887,0.055182
258,0.036808,0.067947
259,0.036371,0.04463
260,0.070799,0.273137
261,0.036585,0.077957
262,0.090957,0.038704
263,0.123585,0.040586
264,0.042306,0.047169
265,0.037305,0.051032
266,0.039602,0.064028
267,0.045744,0.049025
268,0.061984,0.087088
269,0.069814,0.05682
270,0.065171,0.041804
271,0.049073,0.040094
272,0.057183,0.070149
273,0.041142,0.054649
274,0.059199,0.046479
275,0.055336,0.087467
276,0.182376,0.072557
277,0.061351,0.07671
278,0.051845,0.038086
279,0.038196,0.038193
280,0.071986,0.09804
281,0.051908,0.055919
282,0.040389,0.041454
283,0.041548,0.034672
284,0.090271,0.059645
285,0.059816,0.043243
286,0.090617,0.068676
287,0.03789,0.062479
288,0.04614,0.036794
289,0.049496,0.037374
290,0.040141,0.044202
291,0.117289,0.040773
292,0.099904,0.070398
293,0.051082,0.04593
294,0.039969,0.04164
295,0.046673,0.071513
296,0.07648,0.04721
297,0.053296,0.039921
298,0.056518,0.053729
299,0.093213,0.037342
300,0.052718,0.072179
301,0.041712,0.054112
302,0.068725,0.048166
303,0.038906,0.064695
304,0.066158,0.06043
305,0.073474,0.060272
306,0.125511,0.06308
307,0.075891,0.059197
308,0.065478,0.074736
309,0.055284,0.064004
310,0.064581,5.134108
311,0.110491,0.048367
312,0.076074,0.060758
313,0.062264,0.076643
314,0.043668,0.062365
315,0.070146,0.035299
316,0.11533,0.044476
317,0.063611,0.040117
318,0.059829,0.055485
319,0.051016,0.038166
320,0.037574,0.060765
321,0.055988,0.064436
322,0.049206,0.046794
323,0.052845,0.042018
324,0.054797,0.063072
325,0.073635,0.101498
