,http2,http3
370,0.032646,0.048026
371,0.046274,0.046767
372,0.063594,0.033365
373,0.041479,0.04146
374,0.043673,0.04674
375,0.044983,0.085747
376,0.03051,0.047823
377,0.064546,0.040949
378,0.034444,0.071706
379,0.033752,0.058478
380,0.068657,0.036883
381,0.038861,0.040366
382,0.032786,0.041861
383,0.033847,0.049183
384,0.057943,0.045388
385,0.042884,0.036375
386,0.034363,0.069987
387,0.034632,0.045052
388,0.030635,0.034731
389,0.046804,0.04853
390,0.097522,0.038964
391,0.044359,0.051461
392,0.033898,0.035334
393,0.03366,0.043379
394,0.038114,0.043008
395,0.065294,0.033788
396,0.108327,0.034816
397,0.063591,0.068374
398,0.043088,0.039372
399,0.034317,0.035155
400,0.032379,0.055163
401,0.03615,0.068779
402,0.047601,0.105995
403,0.049468,0.06309
404,0.04523,0.051452
405,0.032665,0.047109
406,0.034499,0.035538
407,0.050205,0.040332
408,0.036568,0.049677
409,0.030657,0.049074
410,0.03598,0.035091
411,0.065411,0.038066
412,0.038552,0.049384
413,0.033032,0.04754
414,0.049901,0.04871
415,0.034638,0.03272
416,0.03874,0.053431
417,0.045346,0.037698
418,0.045227,0.074712
419,0.03962,0.063849
420,0.036596,0.046003
421,0.052499,0.06443
422,0.050706,0.045992
423,0.044032,0.04475
424,0.041974,0.033477
425,0.048668,0.036822
426,0.047704,0.054471
427,0.040428,0.035393
428,0.034583,0.038364
429,0.034267,0.037862
430,0.055381,0.040567
431,0.035172,0.048776
432,0.034457,0.058102
433,0.032439,0.036568
434,0.032505,0.094134
435,0.049514,0.039385
436,0.03959,0.032956
437,0.043415,0.033611
438,0.049989,0.044225
439,0.054843,0.035324
440,0.03458,0.044701
441,0.056229,0.105717
442,0.031573,0.047471
443,0.035882,0.058739
444,0.033712,0.047171
445,0.044834,0.041293
446,0.066092,0.037376
447,0.034179,0.034038
448,0.073939,0.054384
449,0.035515,0.054525
450,0.040583,0.039349
451,0.044912,0.035126
452,0.034298,0.03443
453,0.044791,0.044941
454,0.036841,0.039826
455,0.058851,0.043272
